"agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","sample_start_time_datum_cd_reported","sample_end_time_datum_cd_reported","startDateTime","tz_cd"
"USGS","12484500",1987-11-11,"09:30",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,4,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PST","PST",1987-11-11 17:30:00,"UTC"
"USGS","12484500",1987-12-09,"12:30",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,4,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PST","PST",1987-12-09 20:30:00,"UTC"
"USGS","12484500",1988-01-13,"12:00",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,3,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PST","PST",1988-01-13 20:00:00,"UTC"
"USGS","12484500",1988-02-10,"10:00",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,25,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PST","PST",1988-02-10 18:00:00,"UTC"
"USGS","12484500",1988-03-09,"10:00",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,3,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PST","PST",1988-03-09 18:00:00,"UTC"
"USGS","12484500",1988-04-13,"10:50",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,22,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-04-13 17:50:00,"UTC"
"USGS","12484500",1988-04-15,"15:20",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,78,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-04-15 22:20:00,"UTC"
"USGS","12484500",1988-05-11,"11:30",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,14,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-05-11 18:30:00,"UTC"
"USGS","12484500",1988-06-15,"12:45",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,12,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-06-15 19:45:00,"UTC"
"USGS","12484500",1988-07-13,"11:00",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,24,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-07-13 18:00:00,"UTC"
"USGS","12484500",1988-07-27,"09:20",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","H","9",NA,"80154",NA,20,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-07-27 16:20:00,"UTC"
"USGS","12484500",1988-07-27,"10:45",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","H","9",NA,"80154",NA,19,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-07-27 17:45:00,"UTC"
"USGS","12484500",1988-08-10,"10:45",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,10,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-08-10 17:45:00,"UTC"
"USGS","12484500",1988-09-14,"11:10",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","9","9",NA,"80154",NA,12,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-09-14 18:10:00,"UTC"
"USGS","12484500",1988-09-21,"12:20",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","H","9",NA,"80154",NA,5,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-09-21 19:20:00,"UTC"
"USGS","12484500",1988-09-21,"16:10",NA,NA,"T","USGS-WRD","WS","475332100",NA,NA,NA,"9","H","9",NA,"80154",NA,22,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDT","PDT",1988-09-21 23:10:00,"UTC"
